user_id,calls_per_day,avg_call_duration_sec,avg_data_mb_per_day,cluster
user_1,11,34,2763,0
user_2,6,353,4156,7
user_3,17,593,2352,0
user_4,18,218,4213,7
user_5,10,218,3448,0
user_6,11,122,327,8
user_7,15,464,69,9
user_8,1,372,2817,0
user_9,5,339,3432,0
user_10,16,462,1098,9
user_11,13,309,711,9
user_12,7,394,2851,0
user_13,8,148,3363,0
user_14,19,73,2509,0
user_15,2,186,71,9
user_16,7,248,2905,0
user_17,16,72,2113,0
user_18,5,247,1018,9
user_19,19,369,2617,0
user_20,17,488,3657,3
user_21,17,436,4070,7
user_22,9,446,1729,9
user_23,8,248,4081,7
user_24,9,75,134,8
user_25,1,550,4929,7
user_26,15,467,3989,7
user_27,7,36,1669,8
user_28,10,469,3619,2
user_29,2,86,3842,4
user_30,1,276,3448,0
user_31,2,423,4546,7
user_32,2,459,2720,0
user_33,5,196,333,9
user_34,10,141,4607,7
user_35,3,291,1555,9
user_36,14,570,3071,0
user_37,17,454,2773,0
user_38,19,261,2582,0
user_39,12,409,4462,7
user_40,12,269,1153,9
user_41,19,356,325,9
user_42,2,351,3901,6
user_43,11,230,3290,0
user_44,16,326,208,9
user_45,1,471,4193,7
user_46,11,428,3621,1
user_47,11,351,3060,0
user_48,8,574,814,9
user_49,9,568,3928,5
user_50,5,100,2054,0
user_51,15,403,1125,9
user_52,11,417,1633,9
user_53,1,196,3091,0
user_54,2,113,475,8
user_55,2,244,4879,7
user_56,19,581,4458,7
user_57,11,289,4739,7
user_58,10,520,1436,9
user_59,13,239,3699,1
user_60,9,349,542,9
user_61,8,157,2916,0
user_62,15,455,826,9
user_63,14,100,3900,4
user_64,19,515,2951,0
user_65,19,46,583,8
user_66,16,439,1985,0
user_67,9,190,865,8
user_68,7,441,3938,6
user_69,8,314,4537,7
user_70,1,525,3335,0
user_71,6,247,577,9
user_72,3,596,3748,3
user_73,5,496,3218,0
user_74,13,175,322,9
user_75,2,101,2072,0
user_76,14,155,1976,0
user_77,1,376,4747,7
user_78,18,386,389,9
user_79,4,53,2519,0
user_80,6,167,2260,0
user_81,7,85,3297,0
user_82,7,374,4917,7
user_83,4,149,4835,7
user_84,15,309,2216,0
user_85,14,520,1791,9
user_86,12,478,152,9
user_87,18,30,3814,4
user_88,14,589,3819,5
user_89,1,491,3927,5
user_90,18,231,3608,0
user_91,6,583,934,9
user_92,15,266,830,9
user_93,6,85,1730,8
user_94,7,513,2878,0
user_95,8,363,3802,6
user_96,6,78,273,8
user_97,15,278,4252,7
user_98,19,497,2487,0
user_99,2,215,1333,8
user_100,7,412,479,9
