user_id,calls_per_day,avg_call_duration_sec,avg_data_mb_per_day
user_1,6,184,2876
user_2,2,149,746
user_3,19,308,2268
user_4,16,104,1478
user_5,10,255,1696
user_6,14,571,3573
user_7,4,98,2227
user_8,4,343,1133
user_9,18,518,1992
user_10,10,272,741
user_11,13,232,3544
user_12,9,272,2469
user_13,2,80,4578
user_14,17,307,713
user_15,1,216,2243
user_16,15,148,4185
user_17,3,138,522
user_18,5,342,4021
user_19,18,471,1184
user_20,8,189,2728
user_21,3,520,519
user_22,19,91,1545
user_23,5,199,2800
user_24,7,384,3068
user_25,15,488,990
user_26,15,592,3232
user_27,15,36,3973
user_28,12,437,3762
user_29,9,512,1537
user_30,4,487,4344
user_31,7,527,2058
user_32,10,464,3618
user_33,1,241,1058
user_34,1,586,1091
user_35,16,195,1800
user_36,1,594,874
user_37,2,347,4025
user_38,14,83,4458
user_39,8,554,3338
user_40,9,529,1754
user_41,15,359,180
user_42,18,242,4858
user_43,18,391,4556
user_44,13,484,3483
user_45,9,73,765
user_46,14,577,4041
user_47,13,478,1977
user_48,2,334,3550
user_49,12,175,3390
user_50,4,542,95
user_51,3,100,2188
user_52,12,391,969
user_53,16,147,1287
user_54,6,298,3468
user_55,6,126,3489
user_56,18,369,3960
user_57,16,579,1101
user_58,6,286,1056
user_59,5,269,4927
user_60,18,595,1860
user_61,17,292,2812
user_62,7,552,3612
user_63,4,352,640
user_64,19,59,109
user_65,11,104,3634
user_66,4,590,1838
user_67,7,362,3876
user_68,19,250,2356
user_69,9,83,4305
user_70,3,408,2989
user_71,7,387,1635
user_72,9,266,4534
user_73,13,371,4806
user_74,14,545,2451
user_75,8,566,2751
user_76,15,129,3339
user_77,18,430,4118
user_78,14,356,4252
user_79,12,304,2657
user_80,12,170,3823
user_81,4,303,4547
user_82,2,211,1569
user_83,3,349,4028
user_84,17,525,2488
user_85,15,543,976
user_86,5,79,2945
user_87,19,409,1559
user_88,6,197,3655
user_89,3,555,1008
user_90,3,377,4826
user_91,8,325,2530
user_92,10,173,3086
user_93,2,443,817
user_94,16,539,2973
user_95,4,467,1235
user_96,8,196,4129
user_97,17,304,2493
user_98,4,170,1951
user_99,9,112,4047
user_100,3,78,4017
